KM,NOM,ID,LAT,LONG
na,Phuoc Trach,325,109.14735,12.253401
na,Phu Vinh,247,109.154598,12.256366
na,Cay Cay,248,109.080278,12.216944
na,Suoi Dau,249,109.07182,12.18817
na,Hoa Tan,250,109.098611,12.121389
na,Suoi Cat,251,109.12585,12.04074
na,Ba Ngoi,252,109.148668,11.917281
na,Suoi Mon,253,109.10971,11.97551
na,Nga Ba,254,109.121111,11.925833
na,Krong Pha,255,108.71347,11.81696
na,Trai Ca,256,109.0976,11.88434
na,Hiep My,257,109.1032,11.83294
na,Ka Rom,258,109.08336,11.77949
na,Tan My,259,108.79476,11.72974
na,Barau,260,109.05066,11.72011
na,Dong Me,261,108.88634,11.69548
na,Balap,262,108.99638,11.66748
na,Luong Phan,263,108.91665,11.6454
na,Tourcham,264,108.95,11.597222
na,Phu Qui,265,108.68217,11.82742
na,Kabeu,323,108.65351,11.82676
na,Belle Vue,266,108.63407,11.84357
na,Dran,267,108.58959,11.84027
na,Arbre Broye,268,108.56225,11.86202
na,Entrerays,269,108.5527,11.88672
na,Le Bosquet,270,108.53095,11.94174
na,Da Lat,271,108.455556,11.942222
na,Hoa Trinh,272,108.911389,11.499167
na,Cana,273,108.876389,11.351944
na,Vinh Hao,274,108.741944,11.309444
na,Song Long Song,275,108.673889,11.263611
na,Nha Me,276,108.61331,11.24298
na,Song Mao,277,108.506667,11.248889
na,Chau Hanh,278,108.425,11.227778
na,Song Luy,279,108.3225,11.214722
na,Long Thanh,280,108.204722,11.128889
na,Ma Lam,281,108.131667,11.0725
na,Muong Man,282,108.003056,10.968611
na,Phu Hoi,283,108.07121,10.95126
na,Phan Thiet,284,108.1062684,10.9235598
na,Suoi Van,285,107.867222,10.920556
na,Song Phan,286,107.751667,10.874444
na,Song Dinh,287,107.672778,10.921389
na,Suoi Kiet,288,107.630278,10.968333
na,Gia Huynh,289,107.541389,10.985278
na,Tran Tao,290,107.488056,10.9675
na,Gia Ray,291,107.403056,10.964167
na,Bao Chanh,292,107.325833,10.9525
na,Xuan Loc,293,107.245833,10.933333
na,An Loc,294,107.18219,10.92655
na,Dau Giay,295,107.137778,10.930833
na,Bau Ca,296,107.07561,10.93561
na,Trang Bom,297,106.993889,10.944722
na,Long Lac,298,106.94153,10.95686
na,Ho Nai,299,106.906111,10.959389
na,Bien Hoa,300,106.826389,10.950556
na,Nhi Hoa,331,106.826426,10.934144
na,Cho Don,301,106.819508,10.928708
na,Hoa Han,330,106.802129,10.925826
na,Dian,302,106.769167,10.907778
na,Ap dian,329,106.759878,10.896752
na,Thu Duc,303,106.753333,10.883056
na,Binh Chanh,328,106.738546,10.862489
na,Binh Trieu,304,106.7117,10.8531
na,Go Vap,305,106.67941,10.84058
na,Hanh Thong Xa,327,106.674962,10.810766
na,Phu Nuan,322,106.673892,10.801047
na,Hoa Hung,326,106.673233,10.795529
0,Sai Gon,306,106.667408,10.785243
5,Cho Lon,307,106.62312,10.75971
6,Cay Mai,367,106.62004,10.74895
8,Phu Lam,308,106.61653,10.72765
10,Km 10,333,106.61213,10.71293
12,An Lac,309,106.60994,10.69668
14,Tan Kien,334,106.60664,10.68131
16,Binh Dien,310,106.59171,10.67208
18,Tan Tuc,368,106.57699,10.6622
21,Binh Chanh,311,106.55195,10.64836
26,Go Den,312,106.50825,10.6398
28,Long Hiep,335,106.49199,10.64287
31,Ben Luc,313,106.46784,10.63452
35,Binh Nhut,336,106.4428,10.60971
38,Binh Anh,314,106.42962,10.58621
42,Thu Thua,359,106.41446,10.55963
46,Tan An,315,106.39777,10.5313
48,Loi Binh Nhon,337,106.38855,10.51373
51,Khanh Hau,338,106.37581,10.4911
54,Tan Huong,316,106.36219,10.46497
56,Hoa Tinh,339,106.35121,10.44828
57,Tan Ly Tay,340,106.34682,10.44015
58,Tan Hiep,317,106.34155,10.43005
60,Cuu Nghia,369,106.34155,10.41335
61,Luong Phu,318,106.34319,10.39447
64,Long Hoi,341,106.34341,10.38865
66,Truong Luong,319,106.34429,10.38151
67,Dao Ngan,370,106.35857,10.37338
70,My Tho,320,106.37702,10.3624
