"ID","Quantite","KM","NOM","LAT","LONG"
163,0,"na","Binh An Tay",108.36621,15.67672
165,0,"na","Tay My",108.40343,15.62978
167,0,"na","Thinh My",108.45269,15.57591
172,0,"na","Nam Van",108.65398,15.43227
176,0,"na","Phu Hau",108.76352,15.22571
180,0,"na","Nghia An",108.78741,15.09887
185,0,"na","Tra Ninh",108.88459,14.92591
202,0,"na","Dai Thuan",109.03493,14.10663
206,0,"na","Binh Duc",109.06095,13.97518
207,0,"na","Vinh Lai",109.06194,13.94817
209,0,"na","Thanh Danh",109.0939,13.89644
211,0,"na","Cau Ganh",109.12207,13.87388
213,0,"na","Vin The",109.14216,13.83533
217,0,"na","An Trach",109.10856,13.77224
220,0,"na","Quang Hien",109.03641,13.67176
224,0,"na","Phuoc Long",109.09579,13.41833
229,0,"na","Phu Tan",109.24371,13.28359
232,0,"na","Minh Chinh",109.28358,13.12314
325,0,"na","Phuoc Trach",109.14735,12.253401
251,0,"na","Suoi Cat",109.12585,12.04074
253,0,"na","Suoi Mon",109.10971,11.97551
258,0,"na","Ka Rom",109.08336,11.77949
260,0,"na","Barau",109.05066,11.72011
261,0,"na","Dong Me",108.88634,11.69548
263,0,"na","Luong Phan",108.91665,11.6454
265,0,"na","Phu Qui",108.68217,11.82742
323,0,"na","Kabeu",108.65351,11.82676
276,0,"na","Nha Me",108.61331,11.24298
283,0,"na","Phu Hoi",108.07121,10.95126
290,0,"na","Tran Tao",107.488056,10.9675
296,0,"na","Bau Ca",107.07561,10.93561
298,0,"na","Long Lac",106.94153,10.95686
331,0,"na","Nhi Hoa",106.826426,10.934144
330,0,"na","Hoa Han",106.802129,10.925826
329,0,"na","Ap dian",106.759878,10.896752
328,0,"na","Binh Chanh",106.738546,10.862489
327,0,"na","Hanh Thong Xa",106.674962,10.810766
326,0,"na","Hoa Hung",106.673233,10.795529
333,0,"10","Km 10",106.61213,10.71293
368,0,"18","Tan Tuc",106.57699,10.6622
335,0,"28","Long Hiep",106.49199,10.64287
336,0,"35","Binh Nhut",106.4428,10.60971
337,0,"48","Loi Binh Nhon",106.38855,10.51373
338,0,"51","Khanh Hau",106.37581,10.4911
339,0,"56","Hoa Tinh",106.35121,10.44828
369,0,"60","Cuu Nghia",106.34155,10.41335
370,0,"67","Dao Ngan",106.35857,10.37338
