"ID","Quantite","KM","NOM","LAT","LONG"
209,0,"na","Thanh Danh",109.0939,13.89644
210,0,"na","Binh Dinh",109.100833,13.887222
211,0,"na","Cau Ganh",109.12207,13.87388
212,0,"na","Van My",109.13063,13.85971
213,0,"na","Vin The",109.14216,13.83533
214,0,"na","Dieu Tri",109.143611,13.807222
215,0,"na","Tuy Phuoc",109.19257,13.79102
216,0,"na","Qui Nhon",109.223333,13.778333
217,0,"na","An Trach",109.10856,13.77224
218,0,"na","Canh Van",109.10691,13.7673
219,0,"na","Tan Vinh",109.049444,13.7075
220,0,"na","Quang Hien",109.03641,13.67176
221,0,"na","Van Canh",108.996944,13.620556
222,0,"na","Muc Thinh",109.02035,13.55242
223,0,"na","Phuoc Lanh",109.030833,13.486111
224,0,"na","Phuoc Long",109.09579,13.41833
225,0,"na","La Hai",109.105833,13.381667
226,0,"na","Ha Bang",109.14521,13.35343
227,0,"na","Phong Nien",109.17717,13.32147
228,0,"na","Chi Thanh",109.219444,13.304722
229,0,"na","Phu Tan",109.24371,13.28359
230,0,"na","My Phu",109.25887,13.25394
231,0,"na","Hoa Da",109.270278,13.205278
232,0,"na","Minh Chinh",109.28358,13.12314
233,0,"na","Tuy Hoa",109.297278,13.088111
234,0,"na","Dong Tac",109.321944,13.055833
235,0,"na","Phu Hiep",109.361111,13.000278
236,0,"na","Thach Tuan",109.361,12.97456
237,0,"na","Hao Son",109.376667,12.908333
238,0,"na","Dai Lanh",109.360556,12.833889
239,0,"na","Tu Bong",109.300833,12.777778
240,0,"na","Gia",109.223611,12.7
241,0,"na","Hoa Huynh",109.168056,12.574444
242,0,"na","Ninh Hoa",109.122778,12.488889
243,0,"na","Phong Tanh",109.125833,12.433333
244,0,"na","Quang Duoi",109.18507,12.39276
245,0,"na","Luong Son",109.194444,12.337778
247,0,"na","Phu Vinh",109.154598,12.256366
269,0,"na","Entrerays",108.5527,11.88672
270,0,"na","Le Bosquet",108.53095,11.94174
271,0,"na","Da Lat",108.455556,11.942222
367,0,"6","Cay Mai",106.62004,10.74895
333,0,"10","Km 10",106.61213,10.71293
368,0,"18","Tan Tuc",106.57699,10.6622
359,0,"42","Thu Thua",106.41446,10.55963
369,0,"60","Cuu Nghia",106.34155,10.41335
370,0,"67","Dao Ngan",106.35857,10.37338
